ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount,,,,
186.211.110.178,elite,AS53062,BR,Ggnet Telecom Backbone,204,Ggnet Telecom Backbone,32346,socks4,755,2,2024-07-25T21:09:31.401Z,96,7306,7587,,,,186.211.110.178:32346
166.0.235.137,elite,AS395111,US,Ace Data Centers,105,Ipxo LLC,58104,socks4,891,1,2024-07-25T21:09:31.494Z,100,814,814,,,,166.0.235.137:58104
210.57.216.110,elite,AS38142,ID,Airlangga University,184,"Universitas Airlangga, y",4145,socks4,4915,1,2024-07-25T21:09:31.492Z,99,7520,7581,,,,210.57.216.110:4145
103.75.199.184,elite,AS212552,DE,BitCommand LLC,19,Parsun Network Solutions PTY LTD,9167,socks4,1496,1,2024-07-25T21:09:31.496Z,88,666,756,,,,103.75.199.184:9167
72.206.181.103,elite,AS22773,US,Cox Communications Inc.,146,Cox Communications Inc.,4145,socks4,370,1,2024-07-25T21:09:30.990Z,74,514,692,,,,72.206.181.103:4145
185.195.129.116,elite,AS212696,IT,Wicomm SRLS,61,Wicomm SRLS,4153,socks4,2703,1,2024-07-25T21:09:30.793Z,97,7378,7587,,,,185.195.129.116:4153
88.198.219.62,elite,AS24940,DE,Hetzner Online GmbH,24,Hetzner,80,socks4,855,2,2024-07-25T21:09:30.698Z,100,7562,7568,,,,88.198.219.62:80
131.161.68.38,elite,AS264402,BR,MS NUNES INFORMAÔÔO TECNOLOGICA LTDA,187,MS NUNES INFORMAÇÃO TECNOLOGICA LTDA,35944,socks4,418,1,2024-07-25T21:09:30.906Z,98,537,549,,,,131.161.68.38:35944
83.136.176.72,elite,AS209581,ES,Wicat,42,"GUARICO CONSTRUMAT, S.L",4145,socks4,827,2,2024-07-25T21:09:30.704Z,74,5523,7497,,,,83.136.176.72:4145
94.181.33.149,elite,AS41661,RU,"CJSC \ER-Telecom Holding\"" Chelyabinsk branch""",82,"JSC \ER-Telecom Holding\"" Chelyabinsk Branch""",40840,socks4,4009,1,2024-07-25T21:09:30.893Z,100,845,845,,,,94.181.33.149:40840
178.32.116.99,elite,AS16276,FR,OVH SAS,8,OVH ISP,62763,socks4,2701,2,2024-07-25T21:09:30.800Z,100,7597,7608,,,,178.32.116.99:62763
103.8.40.140,elite,AS45235,IN,Geocity Network Solutions PVT LTD,194,Geocity Network Solutions PVT LTD,1080,socks4,3696,2,2024-07-25T21:09:30.798Z,34,2587,7653,,,,103.8.40.140:1080
110.147.230.122,elite,AS1221,AU,Telstra Limited,386,Telstra Corporation,5678,socks4,539,1,2024-07-25T21:08:55.292Z,100,656,657,,,,110.147.230.122:5678
102.64.116.97,elite,AS328500,CG,A.M.C Telecom,151,A.M.C Telecom,4145,socks4,68,1,2024-07-25T21:08:55.111Z,98,7470,7584,,,,102.64.116.97:4145
