area,available_from,deposit,floor,location,price,AddServices,rooms,title,url,listing_description
41,9/16/2024,,blok,"ul. Zabłocie, Zabłocie, Podgórze, Kraków, małopolskie","3,700",,2,"Nowoczesne 2 pokoje na Zabłociu, wysoki standard",https://www.otodom.pl/pl/oferta/nowoczesne-2-pokoje-na-zablociu-wysoki-standard-ID4rMDM,"Na wynajem mieszkanie zlokalizowane w obecnie najpopularniejszej dzielnicy Krakowa, Zabłocie Concept House II to Nowoczesna Inwestycja idealna dla osób ceniących sobie bliskość centrum miasta.  Mieszkanie o powierzchni  41  m2 położone na  3  piętrze w 7 piętrowym nowoczesnym budynku zaraz obok Bulwarów Wiślanych.  Nowoczesna i przytulna przestrzeń, a w skład mieszkania wchodzi:  - salon z aneksem kuchennym oraz wyjściem na balkon  - przytulna sypialnia z wygodnym łóżkiem  - nowoczesna łazienka z prysznicem Niewątpliwym atutem mieszkania jest wykończenie z dbałością o najmniejsze detale.  CENA: - czynsz najmu 3 700 PLN  - miejsce postojowe w garażu podziemnym + komórka lokatorska 450 + vat  - koszty administracyjne ok 600 PLN - kaucja zwrotna  -  możliwość wynajmu mieszkania na firmę  LOKALIZACJA: W bliskiej okolicy Bulwary Wiślane oraz wiele terenów zielonych. W kilka minut można dotrzeć na Kazimierz, do Galerii Kazimierz oraz Akademii Krakowskiej. Bardzo dobrze rozwinięta infrastruktura gastronomiczno-usługowa, wiele restauracji, kilka sklepów spożywczych, fryzjer, gabinety lekarskie oraz kosmetyczne.  Miejsce tętniące życiem Tuż obok ""Hala Lipowa"" i  ""Stacja Wisła"" -Przystanek tramwajowy""Klimeckiego"" oddalony ok 300 metrów (9,11,20,24,49,50) -Stacja kolejowa SKA ""Kraków Zabłocie"" Mieszkanie dostępne od połowy września, możliwość prezentacji we wcześniejszym terminie.  Zapraszam do kontaktu: Patrycja Badowska  Sulma Real Estate  + 48 733 999 746  For rent an apartment located in the currently most popular district of Krakow, Zabłocie Concept House II is a modern investment ideal for people who value proximity to the city center. An apartment with an area of ​​41 m2 located on the 3rd floor in a 7-storey modern building right next to the Wisła River A modern and cozy space, and the apartment includes: - living room with kitchenette and access to the balcony - cozy bedroom with a comfortable bed - modern bathroom with shower An undoubted advantage of the apartment is the finish with attention to the smallest details. PRICE: - rent PLN 3,700 - parking space in the underground garage + storage room PLN 450 + VAT - administrative costs approx. PLN 600 - refundable deposit - possibility of renting an apartment for a company LOCATION: In the immediate vicinity of the Vistula Boulevards and many green areas. In a few minutes you can reach Kazimierz, Galeria Kazimierz and the Krakow Academy. Very well-developed catering and service infrastructure, many restaurants, several grocery stores, hairdresser, medical and beauty salons. A vibrant place Right next to ""Hala Lipowa"" and ""Stacja Wisła"" - Tram stop ""Klimeckiego"" about 300 meters away (9,11,20,24,49,50) - SKA ""Kraków Zabłocie"" railway station Rental of the apartment possible in mid-September, possibility of presentation at an earlier date. Contact us! Patrycja Badowska Sulma Real Estate + 48 733 999 746 (whatsapp, telegram )"
38,9/1/2024,"3,500",5-Apr,"ul. Kaliny Jędrusik, Sady Żoliborskie, Żoliborz, Warszawa, mazowieckie","2,900",600,2,M2 z miejscem do pracy // Żoliborz Artystyczny,https://www.otodom.pl/pl/oferta/m2-z-miejscem-do-pracy-zoliborz-artystyczny-ID4rMC0,"Tylko u nas!     Mamy przyjemność zaprezentować do wynajęcia rozkładowe,  2-pokojowe  mieszkanie na osiedlu Żoliborz Artystyczny, przy ul. Kaliny Jędrusik 4b, składające się z:   -przestronnego salonu z dobrze wyposażonym aneksem kuchennym,   - osobnej sypialni z dużym łóżkiem, zorganizowaną przestrzenią do pracy oraz bardzo pojemną szafą wnękową,   - dużej łazienki z prysznicem typu walk-in,   - jasnego korytarz zabudowanego pojemną szafą wnękową,   - balkonu z widokiem na sąsiednie tereny zielone.     Usytuowanie na 4 piętrze (5 piętrowego budynku) sprawia, że mieszkanie jest bardzo  słoneczne i jasne .     Mieszkanie  w pełni wyposażone  w sprzęt AGD: piekarnik, zmywarkę, płytę indukcyjną, pralkę. W korytarzu oraz sypialni duże, podwójne szafy wnękowe. Stolarka meblowa w mieszkaniu wykonana została na indywidualne zamówienie.   W sypialni, oprócz dwuosobowego łóżka z materacem, znajduje się duże biurko z licznymi półkami i szufladami zapewniające  komfortowe warunki do pracy lub nauki .   W oknach  rolety - plisy  umożliwiające optymalne zasłonięcie okien. Wstawione zostały również  moskitiery .     Mieszkanie znajduje się na  zamkniętym, monitorowanym osiedlu . Na osiedlu dostępne jest także pomieszczenie  rowerowni .     Do mieszkania przynależy  miejsce postojowe  w garażu podziemnym oraz  komórka lokatorka  (dodatkowo płatne), których wynajęcie nie jest obligatoryjne.     Mieszkanie w  świetnie skomunikowanej  części Warszawy. Niedaleko przystanek autobusowy, z którego w zaledwie kilka minut dojedziemy do stacji metra Dworzec Gdański. Nieopodal również stacja PKP Powązki.     W najbliższej okolicy  rozwinięta infrastruktura towarzysząca : liczne sklepy, piekarnie, restauracje, pizzerie, siłownia, przedszkola, szkoły. W niedalekiej odległości również Centrum Handlowe Westfield Arkadia.     W okolicy  liczne tereny zielone  - Lasek na Kole, park Sady Żoliborskie, nieco dalej Forty Bema.     Mieszkanie dostępne od 01 września.     W skrócie:     CO:  2-pokojowe, przytulne mieszkanie w otoczeniu zieleni o powierzchni ok. 38 m kw. na osiedlu Żoliborz Artystyczny.     PIĘTRO:  4/5     KTO:  PS Property Support – nie pobieramy prowizji od Najemcy     DLA KOGO:  singla, pary, animal friendly :)     GDZIE:  Żoliborz Artystyczny, ul. Kaliny Jędrusik 4B     ZA ILE:  2.900 PLN plus czynsz ok. 600 PLN plus garaż 300 PLN i komórka 150 PLN (wynajem opcjonalny)     KAUCJA:  1 – miesięczny czynsz     OD KIEDY:  od 01 września      Zapraszamy na prezentację!     _   Jeśli chcesz kupić/sprzedać/wynająć nieruchomość na Żoliborzu, ale nie tylko, zapraszamy do kontaktu. Kompleksowa obsługa sprzedaży i najmu nieruchomości, zarządzanie długoterminowym najmem, wycena nieruchomości, doradztwo.   796 898 828 / 607 039 194 #pspropertysupport #mieszkanienazoliborzu"
21,contact for details,,blok,"Bolszewo, Wejherowo, wejherowski, pomorskie","1,350",300,1 350 zł,Kawalerka w nowym budownictwie - niskie opłaty.,https://www.otodom.pl/pl/oferta/kawalerka-w-nowym-budownictwie-niskie-oplaty-ID4rMAu,"Oferuję Państwu przytulną kawalerkę w Bolszewie.     Mieszkanie o powierzchni 21m2 mieści się na drugim piętrze dwupiętrowego bloku z 2019 roku i składa się z salonu z aneksem kuchennym, przedpokoju i łazienki.   Nieruchomość położona jest w dzielnicy domków jednorodzinnych – wyniesienie ponad dachy otaczających ją budynków oraz południowo-zachodnia ekspozycja dają bardzo dobre doświetlenie wnętrza w ciągu właściwie całego dnia.       Mieszkanie jest świeżo po remoncie.   Kuchnia jest w pełni wyposażona (nowa lodówka, czajnik elektryczny, płyta indukcyjna, kuchenka mikrofalowa, naczynia, etc.)   W łazience znajduję się pralka i prysznic z deszczownicą.   W przedpokoju bardzo przestronna szafa. W niej również znajdziecie  Państwo żelazko, deskę do prasowania i  suszarkę do odzieży).   W rozkładanej podwójnej kanapie – 2 poduszki oraz kołdra.   W telewizorze kanały TV naziemnej. Blok jest okablowany przez dostawcę internetu i telewizji Chopin (umowa w gestii najemcy).   Dzielnica jest bardzo dobrze skomunikowana. W odległości 50m od budynku znajduje się przystanek autobusowy, z którego w ciągu 15 minut dojedziemy do stacji SKM Wejherowo.   Jeśli jeździcie Państwo samochodem – pod blokiem znajduje się ogólnodostępny parking.   Jeśli jeździcie rowerem – możecie go bezpiecznie przechować w rowerowni na parterze budynku.   W bezpośrednim sąsiedztwie mieszkania: Lewiatan, Żabka, Przedszkole, świetna restauracja serwująca kuchnię azjatycką.   W samym Bolszewie wszystko co pozwoli nam szybko i sprawnie zaopatrzyć dom czyli Centrum handlowe, Apteka, Biedronka, Lidl, Rossmann, Pepco, pralnia chemiczna oraz biblioteka i restauracje.       8 minut autem do jeziora Orle, gdzie możemy popływać na kajakach i tyle samo do przecudownej Puszczy Darżlubskiej uwielbianej przez spacerowiczów, biegaczy i rowerzystów.   Czynsz najmu 1350zł / miesiąc. Dodatkowo opłaty za media 250zł/miesiąc plus energia.   Wymagana kaucja 1350zł plus zaliczka ma media w wysokości 350zł.     Zapraszam!"
80,2/1/2025,"3,500",2-Feb,"Kamieniec Ząbkowicki, Kamieniec Ząbkowicki, ząbkowicki, dolnośląskie","2,600",740,3,Nowoczesne 3-pokojowe mieszkanie 80m2,https://www.otodom.pl/pl/oferta/nowoczesne-3-pokojowe-mieszkanie-80m2-ID4r9pn,
56,contact for details,,kamienica,"ul. Senatorska, Górniak, Górna, Łódź, łódzkie","3,500",,2,Perła wśród Mieszkań! Wysoki standar wykończenia!,https://www.otodom.pl/pl/oferta/perla-wsrod-mieszkan-wysoki-standar-wykonczenia-ID4re63,"          Wyjątkowe Dwupokojowe Mieszkanie w Stylu Loftowym – Perła wśród Mieszkań!   Oferujemy na wynajem pięknie urządzone, dwupokojowe mieszkanie o powierzchni 56 m², wykończone w wysokim standardzie. Lokal znajduje się na parterze kamienicy przy ul. Senatorskiej w Łodzi i jest ogrzewany stylowym piecem. Dodatkowo uroku dodają pozostawione oryginalne ściany z odnowionej cegły.   Opis Nieruchomości:   Mieszkanie przeszło generalny remont obejmujący:         Wymianę instalacji elektrycznej             Nową instalację wodno-kanalizacyjną             Montaż nowych drzwi wejściowych             Położenie gładzi na ścianach         Wykończenie i Wyposażenie:         Kuchnia:  Nowe meble oraz markowy sprzęt AGD (mikrofalówka, lodówka). Dodatkowo wyspa z wbudowaną zmywarką i pralką. Piec żeliwny opalany drewnem.             Łazienka:  Szafka z umywalką, prysznic, misa WC w kształcie złotej czaszki, lustro.             Sypialnia:  Duże drewniane łóżko z materacem, dwie skrzynie, garderoba oraz stylowe przesuwane drzwi.             Salon:  Duża trzyosobowa sofa, stół z krzesłami, skrzynia pełniąca rolę stolika kawowego, pianino, barek w stylu japońskim z wysuwanymi półkami, ozdobne lampy.         Układ Mieszkania:         Salon - 16,3m2             Sypialnia - 14,2m2             Kuchnia - 13,3m2             Łazienka - 5,8m2             Przedpokój - 6,2m2         Zalety Lokalizacji:         Infrastruktura:  W pobliżu znajdują się markety, centra medyczne, park Reymonta, Ogrody Geyera, siłownia, Muzeum Włókiennictwa.             Komunikacja:  Przystanki autobusowe i tramwajowe w zasięgu kilku minut spacerem. Zaledwie cztery przystanki tramwajem do słynnej ul. Piotrkowskiej.         Dodatkowe Informacje:         Parking:  Przed budynkiem dostępne są ogólnodostępne miejsca postojowe. Możliwość parkowania auta na posesji, wjazd przez zamykaną bramę.             Możliwość wynajęcia lokalu usługowo - biurowego o pow. 37m2, które znajduję się na parterze ze wspólnym wejściem do mieszkania.             Link do oferty lokalu :         Czynsz - 3500 zł + prąd i woda w/g wskazań liczników   Wymagana trzymiesięczna kaucja.     Jeśli zainteresowała Cię ta oferta, zapraszamy do kontaktu i na prezentację.   Kontakt:  Tel.  792 900 160   Nie przegap okazji na wynajem pięknie urządzonego mieszkania w doskonałej lokalizacji!     Treść niniejszego ogłoszenia nie stanowi oferty w rozumieniu art.66 §1 KC oraz innych przepisów prawnych. Dane podane w ofercie mają charakter informacyjny i mogą ulec zmianie. Niniejsza informacja nie stanowi oferty w rozumieniu Kodeksu Cywilnego.       Nota prawna    Opis oferty zawarty na stronie internetowej sporządzany jest na podstawie oględzin nieruchomości oraz informacji uzyskanych od właściciela, może podlegać aktualizacji i nie stanowi oferty określonej w art. 66 i następnych K.C.  "
22.8,9/15/2024,,blok,"ul. Wileńska, Olsza, Prądnik Czerwony, Kraków, małopolskie","1,850",323,Kaucja,Kawalerka dla studenta,https://www.otodom.pl/pl/oferta/kawalerka-dla-studenta-ID4rMuN,"Od 15 września MINT Property prezentuje na wynajem mieszkanie typu studio położone na 1szym piętrze bloku. Mieszkanie o pow. 22.8 m2 składa się z: odrębnego pokoju (14.2 m2) przedpokoju z aneksem kuchennym łazienki W mieszkaniu zainstalowano nowe, plastikowe okna. W mieszkaniu ogrzewanie MPEC. Mieszkanie w dobrym stanie. Ekspozycja południowo-zachodnia Lokalizacja: Doskonała lokalizacja, w pobliżu Al. 29 Listopada. Dobry dojazd do centrum miasta, zaledwie 15 min do Rynku.  Cena: Cena najmu  1850 PLN  "
36,contact for details,>,apartamentowiec,"ul. Podwisłocze, Nowe Miasto, Rzeszów, podkarpackie","2,500",250,2 500 zł,Podwisłocze Capital Towers salon + aneks XXII p.,https://www.otodom.pl/pl/oferta/podwislocze-capital-towers-salon-aneks-xxii-p-ID4k4jT,"Właściciel wynajmie bezpośrednio mieszkanie na XXII piętrze w prestiżowym, nowoczesnym apartamentowcu Capital Towers przy ul. Podwisłocze 27 w Rzeszowie, z niesamowitym widokiem na panoramę miasta. Mieszkanie składa się z salonu z aneksem kuchennym oraz łazienki. Powierzchnia mieszkania wynosi ok. 36 m2.    "
60,contact for details,"5,000",3-Mar,"ul. gen. Stefana Grota Roweckiego, Osiedle Generałów, Olsztyn, warmińsko-mazurskie","3,000",816,3,Mieszkanie 3 pokojowe o powierzchni 60 m2,https://www.otodom.pl/pl/oferta/mieszkanie-3-pokojowe-o-powierzchni-60-m2-ID4rDI5,"  Mieszkanie znajduje się na 3 piętrze, w skład wchodzą 3 niezależne pokoje ( salon, sypialnia, pokój dziecięcy ) z oddzielną kuchnią i łazienką.    Posiadam miejsce postojowe w hali garażowej i piwnicę.     "
500,contact for details,"2,500",parter/1,"ul. Stefana Żeromskiego, Centrum Południe, Zabrze, śląskie","1,390",290,2,2-pok Po remoncie Centrum Południe-Politechnik-ŚUM,https://www.otodom.pl/pl/oferta/2-pok-po-remoncie-centrum-poludnie-politechnik-sum-ID4gGBd,"Witam serdecznie.       Mam przyjemność zaoferować Państwu 2-pokojowe mieszkanie z aneksem kuchennym,   znajdujące się w dzielnicy Centrum-Południe przy ulicy Stefana Żeromskiego w Zabrzu.   Lokal jest po generalnym remoncie, który zakończył się w połowie 2022 r.   Mieszkanie umeblowane, oczekuje na Najemców.    =   Na wyposażenie składa się min:   - lodówka   - piekarnik elektryczny   - płyta indukcyjna   - pralko- suszarka   - zmywarka   - telewizor   - przyjemne ogrzewanie elektryczne - podłogowe + podczerwień łazienka     Umeblowanie:   - kuchnia w zabudowie   - szafka łazienkowa, prysznic, WC   - pojemna szafa w sypialni   - łóżko sypialniane z materacem   - sofa w salonie   - blat w jadalni z krzesłami barowymi - hoker   - Telewizor 42” - stolik kawowy   - wieszak, lustro oraz szafka w przedpokoju   =   Lokalizacja:   Centrum Południe - Ulica Stefana Żeromskiego - wokół sporo zieleni, mały ruch uliczny, spokój   =   W najbliższej okolicy w promieniu ok. 1 km znajdą Państwo min:   - szereg sklepów tj. Lidl, Biedronka, Żabka, Action, Pepco, Simply Market, salony fryzjerskie, punkty gastronomiczne tj. pizzeria czy kebab, piekarnie oraz wiele innych punktów handlowo-usługowych   - siłownia, korty tenisowe, stadion miejski   - Park Rodzinny ok. 12 min na nogach z licznymi ścieżkami do spacerów czy jazdy na rowerze   - Politechnika Śląska - 1km , Śląski Uniwersytet Medyczny - Klinika Pediatrii – 1,3km   Żłobek 500m, Przedszkole - 550m, szkoły średnie oraz podstawowe do 10 min. piechotą.   W pobliżu również szkoła muzyczna oraz plastyk.   - parking strzeżony ok. 500m od budynku   =   Komunikacja:   - Przystanki autobusowe 500m w kierunku centrum Zabrza i dworca PKP. w kierunku Rudy Śląskiej, Gliwic, Katowic czy Knurowa   - Przystanki tramwajowe w odległości ok. 10 min spacerem   - Autostrada A1- 5 min, Autostrada A4 - 6 min, D.T.Ś. (kier. Katowice – Gliwice) - 4 min samochodem.   =   Budynek:   Niski - 1-piętrowy (w tym roku zostanie poddany termomodernizacji). Klatka schodowa czysta, wejście do budynku zabezpieczone domofonem. Pod budynkiem miejsca parkingowe – wokół sporo zieleni .   Zabudowa wokół również niska głównie 1-3 kondygnacyjne budynki.   Do mieszkania przynależy ok 12m2 piwnica.   =   Czynsz najmu - 1390 zł   Opłaty administracyjne w tym zaliczka na wodę 3m3, wywóz śmieci, fundusz remontowy itp. ok. 290 zł dla jednej osoby oraz 330zł dla dwóch osób.   Dodatkowo prąd według zużycia. Woda rozliczana co roku wg. wskazań licznika.   Preferowana umowa na minimum 12 miesięcy.   Kaucja zwrotna w wysokości 2500 zł płatna przy podpisaniu umowy.   Mieszkanie dla 1-2 osób. Mile widziani niepalący studenci :)   =   BEZ POŚREDNIKÓW - BEZ PROWIZJI I DODATKOWYCH OPŁAT BEZPOŚREDNIO OD WŁAŚCICIELA. Mieszkanie wolne od 26.07.2024r.   Oferta skierowana jest dla osób niepalących)   =   Zapraszam do kontaktu w godzinach 8-21   Dawid - 505854927"
36,7/31/2024,,3-Mar,"Okole, Bydgoszcz, kujawsko-pomorskie","2,200",515,2,Mieszkanie - 2 pokoje z miejscem postojowym,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokoje-z-miejscem-postojowym-ID4rDUM,"Na wynajem wyjątkowo zaaranżowane i w pełni umeblowane mieszkanie w nowym budownictwie przy ul. Garbary 22. Charakterystyka: Piękne mieszkanie, w pełni wyposażone. Nowoczesna zabudowa kuchenna wraz ze sprzętem AGD. Całość wykonana z dbałością o najmniejszy szczegół przy użyciu dobrej jakości materiałów. Mieszkanie bardzo funkcjonalne, gotowe do wprowadzenia, posiada dwa balkony Lokal o łącznej powierzchni 36 m2 składający się z: pokoju z aneksem kuchennym z wyjściem na balkon,  sypialni z wyjściem na balkon,  łazienki z wc,  przedpokoju z szafami. Opłaty: czynsz najmu 2 200 zł,  czynsz administracyjny wraz z mediami 515 zł (jedna osoba),  prąd (wg zużycia raz na dwa miesiące),  Kaucja zabezpieczająca w kwocie 2 200 zł. Lokalizacja: Doskonała komunikacja z każdą dzielnicą Bydgoszczy, dzięki bardzo rozwiniętej infrastrukturze  - przystanek tramwajowy i autobusowy z wieloma połączeniami. Zaledwie 12 minut pieszo zajmie dotarcie do dworca PKP. W bliskiej odległości m.in. Centrum Rekreacji Astoria, Opera Nova, Multikino, Wyższa Szkoła Gospodarki, CH RONDO. W ciągu kilkunastu minut pieszo dotrzemy na Wyspę Młyńską lub na Stary Rynek – miejsca, gdzie skorzystamy z chwili relaksu w otoczeniu urokliwych kamienic. Budynek: Budynek w kształcie litery L liczy 5 kondygnacji - 4 kondygnacje nadziemne i jedna podziemna. Lokale mieszkalne posiadają przestronne balkony. W części podziemnej hala garażowa. Dodatkowe informacje: Miejsce parkingowe w hali garażowej do wyłącznego korzystania dla Najemcy. Komórka lokatorska zlokalizowana na tym samym na piętrze co mieszkanie - również do wyłącznego korzystania dla Najemcy.       Polecam i serdecznie zapraszam na prezentację Aleksandra Tabaczyńska tel. 507 735 606    Potrzebujesz kredyt hipoteczny, gotówkowy, inwestycyjny lub konsolidacyjny?  Nasi eksperci pomogą Ci sprawnie oraz pewnie załatwić wszelkie formalności  i będą z Tobą na każdym etapie procesu kredytowego. Zadzwoń!  -  Firma Art-Centrum Nieruchomości zastrzega, że treść niniejszego ogłoszenia nie stanowi oferty w rozumieniu Kodeksu Cywilnego. Proszę je traktować jako zaproszenie do rokowań w rozumieniu art. 71 Kodeksu Cywilnego.    Oferta wysłana z programu dla biur nieruchomości ASARI CRM ()  "
