area,balcony_garden,finish_condition,floor,form_of_ownership,listing_description,location,parking_space,price,price_per_m2,rent,rooms,title,url
109.0,balkon,do wykończenia,1/4,pełna własność," numer A.4.1.61   na 1. piętrze w Inwestycji Enso Wilanów Dewelopera Yareal Polska Ponadstandardowa wysokość pomieszczeń Lobby z recepcją, strefą spotkań i całodobową ochroną z monitoringiem Taras zewnętrzny ze strefą relaksu, siłownia ze sprzętem oraz przestrzeń do ćwiczeń Brama garażowa z czytnikiem tablic rejestracyjnych, szerokie miejsca postojowe Rezerwat Przyrody Morysin (12 minut spacerem) Ścieżka rowerowa wzdłuż Wału Zawadowskiego (11 minut rowerem) Przystanek autobusowy (5 minut spacerem) Sadyba Best Mall, Cinema City (14 minut spacerem) Muzeum Pałacu Króla Jana III w Wilanowie (15 minut spacerem) Biedronka (5 minut samochodem) Enso Wilanów - poznaj inwestycję Inwestycja Enso Wilanów mieści się  w południowej części Miasteczka Wilanów , przy ul. Branickiego. Etap A składa się z 89 apartamentów, wśród których są lokale oferujące sypialnię połączoną z łazienką i/lub wnęką szafową. Do mieszkań przynależą  ogródki, tarasy, loggie i balkony . Na terenie inwestycji zaplanowano liczne rozwiązania – mające na celu zarówno komfort mieszkańców, jak i troskę o środowisko – takie jak: eleganckie lobby  z recepcją, przestrzenią do spotkań i całodobową ochroną z monitoringiem,  taras zewnętrzny ze strefą relaksu wykonaną z materiałów naturalnych lub pochodzących z recyklingu, tereny zielone z ogrodami deszczowymi, poidełka dla ptaków oraz domki dla owadów , panele fotowoltaiczne, możliwość odzysku energii elektrycznej wytwarzanej podczas pracy windy, pojemniki na nakrętki, plastikowe butelki i puszki, stojaki na rowery oraz  stacje do czyszczenia i naprawy rowerów , szerokie miejsca parkingowe, wszystkie miejsca parkingowe z możliwością doposażenie w ładowarkę elektryczną, brama garażowa z systemem dostępu przez rozpoznanie tablic rejestracyjnych, udogodnienia dla osób niepełnosprawnych, monitoring i  całodobowa ochrona . Enso Wilanów - lokalizacja Wilanów, ul. Branickiego 5 9,3 km do centrum 6 min. spacerem do przystanku autobusowego 10 min. samochodem do stacji metra dojazd do centrum: 29 min samochodem Istotne punkty w okolicy inwestycji Przedszkole (258 m, 4 minuty spacerem) Przystanek autobusowy (388 m, 6 minut spacerem) Restauracja (536 m, 8 minut spacerem) Żłobek (561 m, 8 minut spacerem) Siłownia (602 m, 9 minut spacerem) Lekarz (634 m, 9 minut spacerem) Apteka (652 m, 9 minut spacerem) Poczta (818 m, 12 minut spacerem) Weterynarz (876 m, 13 minut spacerem) Piekarnia (882 m, 13 minut spacerem) Oferta pochodzi z serwisu obido","ul. Aleksandra Gieysztora, Błonia Wilanowskie, Wilanów, Warszawa, mazowieckie",garaż/miejsce parkingowe,2207672.0,20143.0,contact for details,4 ,4-pokojowe mieszkanie 109m2 + balkon Bez Prowizji,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-109m2-balkon-bez-prowizji-ID4nBYb
76.0,ogródek,do wykończenia,parter/4,pełna własność," numer 3   na parterze w budynku 2 w Inwestycji Nowe Zabrze Dewelopera Instal Kraków System kontroli dostępu Park Miejski w Zabrzu (6 minut spacerem) Przystanek autobusowy (5 minut spacerem) Przystanek tramwajowy (6 minut spacerem) Biedronka (9 minut spacerem), Lidl (6 minut samochodem) CH Platan, Planet Cinema (10 minut spacerem) Wjazd na A1 (10 minut samochodem) Nowe Zabrze - poznaj inwestycję Inwestycja Nowe Zabrze  składa się z nowoczesnego 3-segmentowego budynku wielorodzinnego, który powstaje  w samym centrum Zabrza , blisko Placu Teatralnego. Oferta obejmuje 100 mieszkań o metrażach od 34 do 76 mkw. Niektóre mieszkania znajdujące się na parterze zostaną wyposażone w  ogródki  (od 27 do 45 mkw.), a te na piętrze usytuowane od strony wschodu i zachodu zaoferują  duże loggie  (do 12,5 mkw.). Mieszkania zlokalizowane od strony południowej i północnej będą posiadały duże przeszklenia. Na terenie inwestycji zaplanowano  strefę rekreacyjną, plac zabaw , 120 miejsc postojowych w garażu podziemnym, 71 schodów gospodarczych (np. na rowery) oraz infrastrukturę pod stacje ładowania samochodów elektrycznych. Teren osiedla będzie ogrodzony i wyposażony w  kontrolę dostępu . Inwestycja zostanie wybudowana z materiałów o ograniczonym śladzie węglowym, które jednocześnie będą posiadać bardzo  dobre parametry izolacji termicznej i akustycznej . W inwestycji zostanie też zapewnione bezpieczne i ekologiczne ogrzewanie z nowo wybudowanej sieci miejskiej oraz  energooszczędne oświetlenie LED  w częściach wspólnych. Z myślą o komforcie mieszkańców, zaprojektował też  nowy układ chodników  w ciągu ul. Roberta Koźlika, łącznie z wydzielonymi miejscami parkingowymi oraz nową nawierzchnią jezdni. Nowe Zabrze - lokalizacja Zabrze, ul. Roberta Koźlika 0,6 km do centrum 6 min. spacerem do przystanku autobusowego 7 min. spacerem do przystanku tramwajowego dojazd do centrum: 7 min samochodem Istotne punkty w okolicy inwestycji Szkoła Wyższa (273 m, 4 minuty spacerem) Lekarz (290 m, 4 minuty spacerem) Apteka (294 m, 5 minut spacerem) Restauracja (323 m, 5 minut spacerem) Przystanek autobusowy (380 m, 6 minut spacerem) Przystanek tramwajowy (413 m, 7 minut spacerem) Przedszkole (457 m, 7 minut spacerem) Galeria Zabrze (485 m, 8 minut spacerem) Piekarnia (503 m, 8 minut spacerem) Poczta (599 m, 9 minut spacerem) Sklep: Biedronka (618 m, 10 minut spacerem) Park (686 m, 11 minut spacerem) Siłownia (688 m, 11 minut spacerem) Kino (817 m, 12 minut spacerem) Weterynarz (843 m, 13 minut spacerem) Szkoła Podstawowa (893 m, 14 minut spacerem) Muzeum Miejskie w Zabrzu - Galeria Sztuki Café Silesia (966 m, 15 minut spacerem) Oferta pochodzi z serwisu obido","ul. Roberta Koźlika, Śródmieście, Zabrze, śląskie",garaż/miejsce parkingowe,619735.0,8099.0,contact for details,4 ,4-pokojowe mieszkanie 76m2 + ogródek Bez Prowizji,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-76m2-ogrodek-bez-prowizji-ID4qUEp
51.97,balkon,do wykończenia,3/8,pełna własność,"Przestronne mieszkanie trzypokojowe z balkonem, o powierzchni 51,97 m2, usytuowane w spokojnej okolicy na Ratajach. Lokal znajduje się na 3 piętrze, w ośmio-piętrowym budynku z windą. Nowoczesna architektura budynku, funkcjonalny układ lokalu oraz duże okna doświetlające pomieszczenia to niewątpliwe zalety tej inwestycji. Dostępne są miejsca parkingowe naziemne, podziemne w hali garażowej oraz komórki lokatorskie. Układ mieszkania: - salon z aneksem kuchennym - 17,55 m2, - sypialnia - 12,66 m2, - sypialnia - 8,90 m2, - łazienka - 4,36 m2, - korytarz - 6,72 m2, - balkon - 4,50 m2. Lokalizacja: - bliskość terenów zielonych, - komunikacja miejska - w pobliżu przystanek tramwajowy i autobusowy. Zakup bez podatku PCC i prowizji. Zapewniamy bezpłatną pomoc kredytową. W ofercie sprzedaży posiadamy wszystkie mieszkania z tej inwestycji - kilka ostatnich mieszkań jedno, dwu, trzy i czteropokojowych. Zapraszam do kontaktu telefonicznego oraz na prezentację mieszkania w biurze sprzedaży. Michał Strykowski Ekspert ds. Nieruchomości tel. 695 599 792","Rataje, Nowe Miasto, Poznań, wielkopolskie","garaż/miejsce parkingowe,tak",520456.0,10015.0,contact for details,3 ,"Nowe 3 pokoje | ODBIÓR W 2024 | 51,97 m2 | OKAZJA!",https://www.otodom.pl/pl/oferta/nowe-3-pokoje-odbior-w-2024-51-97-m2-okazja-ID4rzvc
20.0,Balkon / ogród / taras,do remontu,3/4,pełna własność,"Agencjom nieruchomości i pośrednikom sprzedaży NIE! dziękuję, NIE jesteśmy zainteresowani współpracą!!!   Nie podpisujemy żadnej umowy, Zapraszamy z klientem.     Sprzedaż bezpośrednia     Mieszkanie własnościowe,  własność gruntu.    Okna wychodzą na południowy wschód, południe i  południowy zachód    Do mieszkania przynależy miejsce postojowe w garażu podziemnym w cenie 50000zł ( z oddzielną księgą wieczystą )   Podłoga drewniana    stan do odświeżenia    domofon + monitoring      Idealna infrastruktura oraz dojazd do centrum.  W bezpośredniej okolicy znajduje się    Przedszkole - 20m    przystanek autobusowy    metro Księcia Janusza    Park Powstańców Warszawy 800m    Park Józefa Sowińskiego 900m   Park Edwarda Szymańskiego 1100m   Park Moczydło 1500m   Szkoła Podstawowa 500m ( droga do szkoły przez osiedle - bez przejścia przez ulicę)    CH Wola Park 950m     ","Śródmieście Północne, Śródmieście, Warszawa, mazowieckie",,980000.0,17345.0,contact for details,3 ,"Wola, Ulrychów, obok Parków",https://www.otodom.pl/pl/oferta/wola-ulrychow-obok-parkow-ID4rNx5
81.46,miejskie,Stan wykończenia,10/10,pełna własność,"OPIS INWESTYCJI: Powierzchnia apartamentu: 81,46 m2 Termin realizacji: 2026-10 Standard wykończenia: stan deweloperski -załączone wizualizacje są przykładową aranżacją tego konkretnego mieszkania i pokazują jego układ w 3d. Lokalizacja: Wrocław Śródmieście Kleczków INFORMACJE O MIESZKANIU: Apartament znajduje się na 10 (ostatnim) piętrze w 10 piętrowym apartamentowcu i składa się z: - salonu z aneksem kuchennym o pow. 28,39m2 z wyjściem na loggie o pow. 8,23m2 z niepowtarzalnym widokiem na rzekę Odrę, Kanał Miejski, teren zielony i panoramę Miasta z ostatniego najwyższego piętra – jedyna ta okazja – to jedyne mieszkanie na ostatnim piętrze z widokiem, pozostałe są już sprzedane! - w mieszkaniu mamy też  3 osobne pokoje 13,3m2, 10,53m2 i 10, 53m2  - 2 łazienki o pow. 5m2 i  3,48m2 - i przedpokoju z miejscem na szafę w zabudowie - apartament dwustronny, z ekspozycją z narożnika  północno-zachodnią, Media: ogrzewanie centralne miejskie, prąd, woda, kanalizacja, instalacje telefoniczna, internetowa, tv kablowa. - apartament ma wysokość. INFORMACJE O INWESTYCJI: 4 etapowa, kompleksowa inwestycja projektowana zgodnie z najnowszymi trendami i potrzebami aby stworzyć wygodną przystań do życia. W nowoczesnej, lekkiej kolorystyce materiałów wykończeniowych wewnątrz jak i na zewnątrz, łączący charakter miejskiego klimatu z nową jasną i częściowo ceglaną wizytówką Kleczkowa ul. Reymonta zyska nową architektoniczną jakość, która z pewnością stanie się kolejną perłą na mapie Wrocławia od tego dewelopera. Kompleks apartamentowców mieszkalnych z kaskadowymi balkonami/tarasami i loggiami, które otwierają się na bezpośrednie sąsiedztwo Kanału Miejskiego, Odrę  oraz tętniące życiem miasto. Niedaleko inwestycji znajduje się spacerowy bulwar nadrzeczny, z  parków, beach barów, przestrzeni rekreacyjnych oraz licznych ścieżek rowerowych.  A w samym apartamentowca i na ternie osiedla do dyspozycji mieszkańców powstanie;  - Ładowarka e-car – dostępna na terenie inwestycji wyłącznie dla mieszkańców  - System Smart - Głosowo lub zdalnie, przy pomocy smartfonu możesz m.in. sterować oświetleniem, regulować temperaturę, wyłączyć urządzenia elektryczne. Kupując mieszkanie, w cenie otrzymasz pakiet startowy, który możesz rozszerzać i dopasowywać do swoich potrzeb. Dzięki temu zawsze wiesz, co dzieje się w Twoim domu. Niezależnie od tego, gdzie akurat jesteś i co robisz -  dostęp do części wspólnych za pomocą aplikacji w smartfonie - punkt odbioru paczek,  - strefy rekreacyjne i rowerownię. KOMUNIKACJA: Ta część Wrocławia jest świetnie skomunikowana z centrum Wrocławia dzięki miejskiej komunikacji autobusowej i tramwajowej, jednocześnie  wszystko co ważne znajduje się w bliskim zasięgu: - 7 minut samochodem, a 15 minut rowerem do Wrocławskiego Rynku,  - 10 minut samochodem do Autostrady A8, trasy S8 - 3 minuty samochodem do Dworca Nadodrze - 5 minut samochodem do centrum zakupowego E. Leclerc - a w 6 minut dojdziesz saperem do becha baru z basenem i plażą Realizacja przypada na 10. 2026 – zakup na tym etapie umożliwia jeszcze duży wybór w ofercie mieszkań, mniejszych /większych, na innym piętrze czy z inną ekspozycją. Zapraszam do kontaktu, zakup umową deweloperską bez podatku PCC i bez prowizji. Zapraszam do kontaktu. Ania Cieślak- Doradca klienta tel. 535 422 198 Nr oferty 02_ WR1.11054a/AC Zamieszczone na naszych stronach informacje nie stanowią oferty w rozumieniu Kodeksu Cywilnego, a dane w nich zawarte mają jedynie charakter informacyjny.","Kleczków, Psie Pole, Wrocław, dolnośląskie",,1548900.0,19014.0,contact for details,4 ,"Mieszkanie 81,46m2 - ostatnie piętro z widokiem na",https://www.otodom.pl/pl/oferta/mieszkanie-81-46m2-ostatnie-pietro-z-widokiem-na-ID4rNyD
,Balkon / ogród / taras,do zamieszkania,2/4,pełna własność,"Ciche, blisko Centrum, dwupokojowe     Agencja Pomian Nieruchomości oferuje do sprzedania dwupokojowe mieszkanie przy ul. Gagarina 9 w Warszawie. Budynek pochodzi z lat 1956 – 1957 i jest zbudowany z cegły. Niedawno przeprowadzono gruntowny remont – ocieplono ściany, położono nowy tynk. Wymieniono piony kanalizacyjne (2003 r.), założono liczniki wody (2014), zlikwidowano piecyki gazowe na rzecz ogrzewania miejskiego (2005). Wyremontowano też klatki schodowe. W mieszkaniu została wymieniona instalacja elektryczna i okna (2018 r.). Woda ciepła jest miejska, tak samo centralne ogrzewanie, również gaz. Sprzedawany lokal znajduje się na 2 piętrze 4-piętrowego budynku bez windy.     Dom oddalony jest o kilkadziesiąt metrów od jezdni i schowany za drzewami. Okna mieszkania wychodzą na podwórko (południe), więc mieszkanie jest bardzo ciche jak na tę okolicę. Do mieszkania przynależy piwnica. W pakiecie dodajemy spokojnych, niekonfliktowych sąsiadów.     Budynek oraz cały zespół urbanistyczny znajdują się w Gminnej Ewidencji Zabytków. Dzięki temu mamy pewność, że nikt nie postawi nam pod oknami kolejnego bloku. Z drugiej strony ewidencja nie sprawia aż takich restrykcji jak rejestr, więc żadne prace dotyczące budynku nie wymagają zezwolenia Konserwatora Zabytków.     Na mieszkanie składają się 2 pokoje, jasna, przestronna kuchnia, spory przedpokój i łazienka z WC. Całość jest słoneczna i przytulna. Wysokość pomieszczeń to 295 cm co powoduje, że panuje tu swoisty mikroklimat – latem nie ma upału, zimą nie marzniemy.     Lokal jest w zasadzie do odświeżenia, choć kuchnia będzie wymagała lekkiego remontu. Pozostaje częściowe umeblowanie oraz wyposażenie – kuchenka gazowa z piekarnikiem, pralka, lodówka z dużą osobną zamrażarką, w pokoju duże podwójne łóżko, szafki i regał. W przedpokoju znajdują się dwie duże szafy wnękowe. Oczywiście, na życzenie, istnieje możliwość usunięcia mebli. Na podłodze parkiet do odświeżenia.     Dostępny światłowód kilku różnych firm (Plus, Netia, Orange, Netbox i in.)     Mieszkanie położone jest niedaleko Łazienek Królewskich (ok. 15 minut piechotą), bardzo dobre połączenia komunikacyjne z Centrum. Już niedługo ruszy nowa linia tramwajowa na Gagarina i Czerniakowskiej. W pobliżu wiele sklepów, szkoły, szpital, świetna przychodnia weterynaryjna w Warszawie – Multivet.     Niewysoki czynsz (od lutego 2024 jest to 550 zł przy 2 osobach). Bardzo sprawnie i bezkonfliktowo działa wspólnota mieszkaniowa i administracja.     Nie pobieramy prowizji od kupujących.     Powyższe ogłoszenie ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 §1 Kodeksu Cywilnego.","ul. Jurija Gagarina, Sielce, Mokotów, Warszawa, mazowieckie","miejskie,W trakcie realizacji / Zwolnione",749000.0,15224.0,550.0,2 ,Ciche mieszkanie w sercu Mokotowa,https://www.otodom.pl/pl/oferta/ciche-mieszkanie-w-sercu-mokotowa-ID4pJI1
30.2,balkon,do wykończenia,1/7,pełna własność,"Pzestronne  3 pokojowe mieszkanie  w świetnej lokalizacji w stanie deweloperskim. KLIENT NIE PŁACI PROWIZJI! ZADZWOŃ I UMÓW SIĘ NA SPOTKANIE! Ostanie mieszkania w tej inwestycji! Oddane do użytku. Mieszkanie składa się z: -  Salonu z aneksem kuchennym  - 30,2m2 - świetna przestrzeń na kuchnię wraz ze częścią jadalną oraz narożnikiem -  Sypialni 1  - 12,6m2 - zmieścisz tutaj duże łóżko szafę i komodę -  Sypialni 2  - 9,6m2 - dodatkowy pokój na gabinet lub pokój dziecka -  Łazienki  - 5m2 - możliwość wstawienia wanny lub prysznica -  WC  - 2,3m2 -  Korytarza  - prawie 7m2 -  Balkonu  - prawie 4m2 Mieszkanie z widokiem na zieleń otaczającą inwestycję. Przestronne, jasne i bardzo ustawne. Wysoki stan deweloperski - nowa inwestycja Jest idealne dla rodziny, pary pracującej zdalnie, a także pod inwestycje - pod wynajem, podział na 2 lub 3 mniejsze niezależne mieszkania! LOKALIZACJA KOMUNIKACJA Do przystanków mamy kilka kroków przy ul. Wielickiej, z  licznymi liniami autobusowymi , którymi można dojechać w prawie każdy zakątek Krakowa Bliskość obwodnicy A4 , cp powoduje że można stąd także szybko wyjechać z Krakowa w stronę Rzeszowa lub Katowic Obok  2 parki  ( Aleksandry oraz Jerzmanowskich) w odległości kilku metrów Pobiżu znajdują się niezbędne elementy infrastruktury:  CHMozaika  (Kaufland/Obi),  przedszkola, szkoła podstawowa,   żłobki, place zabaw , boiska,  Lidl, Biedronka , Plac Targowy oraz  Szpital Uniwersytecki DLACZEGO MY? Jesteśmy  Liderem Jakości PRO  według Otodom! Pomożemy Ci przebrnąć przez cały proces zakupu, Nie płacisz prowizji!  Pomagamy Ci w wyborze najlepszego mieszkania! Posiadamy dostęp do dużej bazy ofert nieruchomości na terenie Krakowa i okolic. Negocjujemy  indywidualne rabaty  dla Klientów u Deweloperów FINANSE Cena za mieszkanie to  812 500 zł ! Do mieszkania możliwość zakupu miejsca postojowego Kupujący nie płaci PCC oraz prowizji dla biura nieruchomości. ZADZWOŃ I UMÓW SIĘ NA PREZENTACJĘ! TO NIC NIE KOSZTUJE! Zapraszam serdecznie do kontaktu, odbieram również wieczorami oraz w miarę możliwości w weekendy. Marta Petlovana *Zdjęcie jest wizualizacją, tak może wyglądać Twoje mieszkanie! Powyższa oferta ma charakter informacyjny i nie stanowi oferty handlowej w rozumieniu art. 66 1 Kodeksu Cywilnego","ul. Jana Kurczaba, Prokocim, Bieżanów-Prokocim, Kraków, małopolskie","garaż/miejsce parkingowe,Obsługa zdalna",812500.0,12200.0,670.0,3 ,Najniższa cena w Krakowie za m2! Sprawdz!,https://www.otodom.pl/pl/oferta/najnizsza-cena-w-krakowie-za-m2-sprawdz-ID4rNvG
65.0,balkon,do wykończenia,2/3,pełna własność," numer A-2.03   na 2. piętrze w budynku A w Inwestycji Koninko Dewelopera Akropol Inwestycje Jezioro Koninko (2 minuty spacerem) Jezioro Kórnickie (14 minut samochodem) Przystanek autobusowy (6 minut spacerem) Stacja PKP ""Gądki"" (5 minut samochodem) Biedronka (7 minut samochodem) Koninko - poznaj inwestycję Inwestycja Koninko to  osiedle 3-piętrowych budynków , po 4 mieszkania na każdym piętrze. Na całość składają się lokale 2-pokojowe, 3-pokojowe i 4-pokojowe. Mieszkania 2-pokojowe posiadają pokój dzienny z aneksem kuchennym, jedną sypialnię i łazienkę, 3-pokojowe mają dwie sypialnie, a 4-pokojowe trzy. Do mieszkań na parterze przynależy  ogródek , natomiast do mieszkań na wyższych kondygnacjach –  balkon .  Osiedle zaprojektowane jest w sposób ergonomiczny i uporządkowany. W planie inwestycji znajdują się nie tylko budynki, ale też ciągi komunikacyjne, miejsca postojowe przynależące do lokali oraz plac zabaw dla najmłodszych. Koninko - lokalizacja Na południe od Poznania, ul. Radiowa, Koninko 1,6 km do granicy miasta 7 min. spacerem do przystanku autobusowego dojazd do centrum: 25 min samochodem Istotne punkty w okolicy inwestycji Przystanek autobusowy (530 m, 7 minut spacerem) Przedszkole (709 m, 9 minut spacerem) Apteka (748 m, 10 minut spacerem) Oferta pochodzi z serwisu obido","ul. Radiowa, Koninko, Kórnik, poznański, wielkopolskie",garaż/miejsce parkingowe,457030.0,7000.0,contact for details,4 ,4-pokojowe mieszkanie 65m2 + balkon Bezpośrednio,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-65m2-balkon-bezposrednio-ID4oqH6
,"ogródek, taras",do wykończenia,parter/1,pełna własność,"Oferta deweloperska w standardzie Premium Wyjątkowe, kameralne osiedle!      Przedsprzedaż Wyjątkowa inwestycja o wysokim standardzie, znajdująca się w Siechnicach ul. J. Hallera z doskonałym dojazdem do Wrocławia oraz pełną infrastrukturą miasta wokół. Osiedle w otoczeniu zabudowy jednorodzinnej oraz wśród licznych terenów zielonych. Kameralne osiedle przy Błękitnej Lagunie - 12 komfortowych mieszkań.  Mieszkanie 3 pokojowe  o powierzchni 52,17mkw zlokalizowane na parterze. Do mieszkania przynależy ogród o łącznej powierzchni 81,1mkw oraz taras 12,1mkw. Lokal 3A.     Funkcjonalny i komfortowy układ mieszkania, w skład którego wchodzi:  - Salon z aneksem kuchennym oraz wyjściem na taras - Sypialnia 1 - Sypialnia 2 - Łazienka - Wiatrołap - Przedpokój Oferowany standard wykończeń w klasie Premium posiada: - Ogrzewanie podłogowe w całym mieszkaniu - Rolety zewnętrzne - elektryczne sterowane indywidualnie - Okna trzyszybowe PCV - Światłowód  - Media miejskie/ ogrzewanie miejskie  Możliwość zakupu w nowym programie rządowym. Do mieszkania przynależą 2 miejsca postojowe naziemne - zakup obligatoryjny 20000zł.  Lokalizacja Inwestycja zlokalizowana w bliskim otoczeniu terenów zielonych, licznych tras spacerowych oraz rowerowych przy jednoczesnym pełnym dostępnie do bogatej infrastruktury miasta. W pobliżu osiedla znajduje się zbiornik wodny  Błękitna Laguna  zachęcający do relaksu na świeżym powietrzu. Miasto bardzo dobrze skomunikowane z Wrocławiem. Dogodne połączenie autobusowe jak również kolejowe z Centrum Wrocławia.  Dojazd pociągiem na Dworzec Główny zajmuje zaledwie 10min! Lokalizacja zapewnia dostęp do wszystkich usług i sklepów niezbędnych do codziennego funkcjonowania. W bliskiej odległości punkty usługowe- kosmetyczne, medyczne oraz edukacyjne. Dostępna Przychodnia Zdrowia, piekarnie -Hert ,restauracje, apteki. Centrum handlowe N park - Lidl, Action, Media Expert , Pepco. W bliskiej odległości Szkoła Podstawowa nr 2, Stadion Lekkoatletyczny oraz Hala Sportowa jak również Prywatne Żłobki/Przedszkola. Dworzec PKP Siechnice 2km - 5min autem! Szkoła Podstawowa nr 2 - 1,7km Błękitna Laguna - 5min pieszo! Wjazd na Wschodnią Obwodnicę Wrocławia - 3km Zapraszam serdecznie na prezentację. Zainteresowany? Zadzwoń teraz i umów się na spotkanie online","gen. Józefa Hallera, Siechnice, Siechnice, wrocławski, dolnośląskie","garaż/miejsce parkingowe,miejskie",579087.0,11100.0,contact for details,3 ,Błękitna Laguna/Premium/3 pok 52mkw/ogród 81mkw,https://www.otodom.pl/pl/oferta/blekitna-laguna-premium-3-pok-52mkw-ogrod-81mkw-ID4qGMr
57.64,balkon,do wykończenia,1/3,pełna własność,"Marzysz o idealnym miejscu do życia, które łączy w sobie  spokój natury z nowoczesnymi rozwiązaniami ekologicznymi ? Apartamenty na Wzgórzach to inwestycja, która spełni Twoje oczekiwania! Poznaj wszystkie atuty tej unikatowej inwestycji i wybierz swoje nowe mieszkanie już dziś! Oferujmy do sprzedaży  trzypokojowe mieszkanie wykończone pod klucz  z balkonem, zlokalizowane na pierwszym piętrze nowoczesnego trzypiętrowego budynku w inwestycji ""Na Wzgórzach"" w miejscowości  Zawada  (koło Myślenic).  Inwestycja jest gotowa, oddana do użytkowania. Mieszkanie: Na powierzchnię całkowitą 57,64 m2 składają się: • Hol 8,00 m2 • Salon z aneksem kuchennym 19,78 m2 • Sypialnia I 10,05 m2 • Sypialnia II 13,91 m2 • Łazienka 4,25 m2 • Toaleta 1,65 m2 • Balkon 7,10 m2 Ekspozycja mieszkania: pólnocno-zachodnia (widok na las). Do mieszkania należy dokupić miejsce postojowe naziemne dodatkowo płatne: 25 000 zł brutto. Apartamenty na Wzgórzach Połączenie wyjątkowej lokalizacji i nowoczesnych rozwiązań eko-budownictwa to wyróżniki kompleksu  Apartamenty na Wzgórzach . Budynki powstały na niezwykle pięknej i widokowej działce, dzięki czemu mieszkańcy mogą korzystać z wyjątkowego komfortu przestrzeni i udogodnień możliwych jedynie dla tego unikatowego miejsca.  Zadbaliśmy o najwyższej jakości technologię budowy i najbardziej użyteczne wykorzystanie przestrzeni, aby stworzyć unikatowe miejsce do zamieszkania i wypoczynku. Szczegóły inwestycji: I etap inwestycji to 9 trzypiętrowych budynków, w których znajdą się 162 mieszkania jedno-, dwu- i trzypokojowe o metrażach od 25,13 m² do 57,85 m². Atuty inwestycji: Funkcjonalne układy pomieszczeń  Zróżnicowane metraże od 25 m² do 57 m²  Mieszkania wykończone pod klucz  Mieszkania z widokiem na góry  Miejsca parkingowe zewnętrzne  Niskie koszty utrzymania Ekologiczne i oszczędne rozwiązania: Inwestycję wyróżniają zastosowane eko-rozwiązania, które zapewnią mieszkańcom niższe koszty utrzymania. W standardzie jest tutaj: Ogrzewanie podłogowe  Rekuperacja  Panele fotowoltaiczne  Pompy ciepła Atrakcje na osiedlu: Kort tenisowy Zadaszona wiata z grillem Planowane lokale usługowe: sklep spożywczy i przedszkole Prywatny park leśny na terenie inwestycji Romantyczne jeziorko na terenie inwestycji Lokalizacja: Osiedle położone jest na wzgórzu w zacisznej okolicy, z dala od ruchliwych ulic. W pobliżu przebiegają malownicze trasy rowerowe i spacerowe - idealne dla rodzin z dziećmi, opiekunów psów i amatorów zdrowego trybu życia.  Kraków: 18 km  Myślenice: 5 km  Jezioro Dobczyckie: 8 km  Sport Arena Myślenice: 10 km  Lotnisko Balice: 36 km  Zakopane: 84 km Zapraszamy do kontaktu: Skontaktuj się z nami, aby dowiedzieć się więcej o dostępnych mieszkaniach i umówić się na prezentację. Zachowaj równowagę i ciesz się życiem w Apartamentach na Wzgórzach - Twojej przystani po intensywnym dniu!","Zawada, Zawada, Myślenice, myślenicki, małopolskie","garaż/miejsce parkingowe,Obsługa zdalna",590810.0,10250.0,430.0,3 ,Duże 3 pokoje (57m2) z widokiem na góry i las,https://www.otodom.pl/pl/oferta/duze-3-pokoje-57m2-z-widokiem-na-gory-i-las-ID4rNuD
